Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	0	0.0	2.174	nan	0.088	0.0	1.087	1.19	0.079
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	1	0.0	5.684	1.901	0.09	0.0	2.095	1.765	0.068
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	2	0.0	7.111	2.599	0.116	0.0	3.601	2.263	0.093
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	3	0.0	6.273	3.964	0.151	0.0	1.152	3.404	0.121
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	4	0.0	6.234	5.76	0.4	0.0	2.226	5.601	0.343
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	5	0.0	2.816	10.041	1.568	0.0	2.567	13.853	1.839
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	6	0.0	6.98	14.146	3.94	0.0	4.191	15.338	2.958
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	7	0.0	16.409	21.81	9.983	0.0	9.953	23.225	8.801
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	8	0.0	28.261	27.432	16.864	0.0	17.287	25.173	12.716
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	9	0.0	35.595	29.969	20.56	0.0	22.617	27.584	15.912
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	10	0.0	46.019	28.678	21.954	0.0	31.862	28.366	18.744
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	11	0.0	51.833	28.835	23.264	0.0	38.174	31.346	22.2
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	12	0.0	56.522	29.884	25.441	0.0	42.968	31.2	23.358
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	13	0.0	62.533	30.279	27.121	0.0	48.232	31.185	24.368
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	14	0.0	64.628	31.353	28.742	0.0	49.358	32.121	25.568
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	15	0.0	69.159	30.368	28.69	0.0	54.374	31.056	25.483
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	16	0.0	69.997	31.673	30.385	0.0	56.09	32.213	26.701
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	17	0.0	72.944	31.444	31.116	0.0	58.931	32.547	27.896
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	18	0.0	74.149	31.592	31.333	0.0	60.66	32.259	27.685
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	19	0.0	75.786	31.978	32.405	0.0	63.017	32.552	28.786
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	20	0.0	75.956	31.395	32.026	0.0	63.266	31.269	27.236
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	21	0.0	77.462	32.175	33.491	0.0	65.571	32.643	29.434
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	22	0.0	78.483	32.156	33.931	0.0	66.344	33.088	29.885
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	23	0.0	80.003	32.055	34.289	0.0	68.649	33.122	30.552
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	24	0.0	80.278	32.494	34.755	0.0	68.74	32.812	30.278
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	25	0.0	81.653	32.306	35.265	0.0	71.255	32.652	30.861
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	26	0.0	81.299	32.517	35.29	0.0	70.587	32.743	30.963
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	27	0.0	82.779	32.141	35.613	0.0	73.075	32.343	31.045
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	28	0.0	83.25	32.517	36.4	0.0	73.363	33.175	32.112
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	29	0.0	83.722	32.557	36.474	0.0	73.245	32.733	31.765
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	30	0.0	84.089	31.911	36.139	0.0	75.223	32.198	31.608
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	31	0.0	84.612	32.53	36.976	0.0	74.581	33.61	33.044
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	32	0.0	84.534	32.782	37.455	0.0	76.231	33.273	33.241
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	33	0.0	84.94	32.46	37.584	0.0	76.611	32.782	32.97
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	34	0.0	84.625	32.608	37.358	0.0	75.799	32.885	33.055
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	35	0.0	84.652	32.293	37.415	0.0	76.572	32.981	33.518
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	36	0.0	86.105	32.197	37.657	0.0	77.737	32.465	33.156
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	37	0.0	85.791	32.229	37.835	0.0	78.3	32.886	33.893
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	38	0.0	85.987	32.801	38.456	0.0	77.75	32.815	33.696
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	39	0.0	86.302	32.531	38.302	0.0	77.672	33.338	34.288
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	40	0.0	86.957	32.234	38.2	0.0	79.112	32.796	33.797
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	41	0.0	85.987	32.222	37.794	0.0	77.947	32.437	33.288
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	42	0.0	87.218	32.759	39.379	0.0	80.003	33.211	34.927
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	43	0.0	86.996	33.176	39.859	0.0	79.793	33.432	35.22
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	44	0.0	87.245	32.863	39.447	0.0	80.291	33.379	35.527
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	45	0.0	87.101	32.847	39.454	0.0	80.304	33.522	35.452
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	46	0.0	86.865	32.722	39.349	0.0	80.579	33.083	35.167
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	47	0.0	88.174	32.577	39.806	0.0	80.854	33.229	35.63
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	48	0.0	87.847	33.039	40.176	0.0	80.959	33.285	35.636
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	49	0.0	87.546	33.041	40.264	0.0	81.378	33.666	36.303
dla102x2	configs_multi/dla102x2/config_dla102x2_CosFace_AdamW.yaml	222	50	0.0	88.541	32.796	39.958	0.0	80.775	33.359	35.893
