Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	0	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	1	0.0	0.458	nan	0.0	0.262	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	2	0.0	0.406	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	3	0.0	0.406	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	4	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	5	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	6	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	7	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	8	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	9	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	10	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	11	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	12	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	13	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	14	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	15	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	16	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	17	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	18	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	19	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	20	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_MagFace_AdamW.yaml	222	21	0.393	0.393	nan	nan	0.0	0.0	nan	nan
